# =========================================================================
# 易产生歧义 / 表意模糊的词语词库
# -------------------------------------------------------------------------
# 格式：  词语[|提示]
#   - 每行一条，[|] 及之后为可选提示
#   - 以 # 开头的行是注释，不会被检测
#   - 用户可随时增删词条
# 匹配方式：子串匹配（本地正则，零联网）
# 本类仅为【疑似】提示，是否需修改由人工判断。
#
# 另：超过一定长度且无句末标点的长句，由“过长无标点长句”检测负责
#     阈值见 config/rules.json 中 textnorm.tn_ambiguous.max_sentence_len
# =========================================================================

相关|“相关”含义宽泛，建议明确具体指向对象
有关|建议明确具体对象，避免笼统
适当|“适当”尺度模糊，建议给出具体标准或数值
若干|“若干”数量不定，建议明确具体数字
部分|建议明确是哪一部分
某些|建议明确具体对象
等等|“等等”可能遗漏重要项，建议列全或说明范围
以及/或|“和/或”逻辑歧义，建议明确是“且”还是“或”
对方|指代不明，建议明确主体名称
前者|后者|“前者/后者”跨句易混淆，建议重复具体名词
一定程度上|程度模糊，建议给出可量化表述
必要时|“必要时”条件不清，建议明确触发条件
妥善处理|“妥善”主观，建议写明处理方式
有关规定|“有关规定”指向不明，建议注明具体条款
 respective|（英文）对应词，中文建议写“相应的”
之初|时间边界模糊，建议写明具体时间点
