# =========================================================================
# 重复冗余词句词库（语义重叠的语病）
# -------------------------------------------------------------------------
# 格式：  冗余短语[|说明]
#   - 每行一条，[|] 及之后为可选的冗余说明
#   - 以 # 开头的行是注释，不会被检测
#   - 用户可随时增删词条
# 匹配方式：子串匹配（本地正则，零联网）
# 本类仅为【疑似】提示，是否需修改由人工判断。
# =========================================================================

亲眼目睹|“亲眼”与“目睹”语义重复，目睹即亲眼看见
凯旋归来|“凯旋”已含“归来”之意
涉及到|“及”已含“到”，应为“涉及”
免费赠送|“赠送”即免费，无需“免费”修饰
大约…左右|“大约”与“左右”重复表约数，保留其一
目的是为了|“目的”与“为了”语义重复
来自于|“自”与“于”重复，用“来自”即可
十分至关重要|“至关重要”已含程度，无需“十分”
过分的溢美之词|“溢美”即过分赞美
被…所（被动残留）|“被…所”为文言残留，用“被…”即可
各界人士们|“人士”已表复数，无需加“们”
首先…来说|“首先来说”口语化且冗余，可直接陈述
目前的现状|“现状”已含“目前”之意
过去的往事|“往事”即过去的事
无声的寂静|“寂静”已含“无声”
胜利的捷报|“捷报”即胜利的消息
优秀的楷模|“楷模”本就优秀
不必要的冗余|“冗余”即不必要
悬殊很大|“悬殊”已含差异大
燃眉之急的紧急|“燃眉之急”已表紧急
