# =========================================================================
# 常见错别字 / 易写错词语词库
# -------------------------------------------------------------------------
# 格式：  错误写法|正确写法
#   - 每行一条，[|] 分隔错误与正确写法
#   - 以 # 开头的行是注释，不会被检测
#   - 用户可随时增删词条（如发现新错词，直接加一行即可）
# 匹配方式：文档中出现“错误写法”子串，即提示疑似错别字（本地正则，零联网）
# 本类仅为【疑似】提示，是否确为错别字由人工核对。
#   （注意：子串匹配可能偶有巧合，请结合上下文判断）
# =========================================================================

安祥|安详
布署|部署
九洲|九州
沉缅|沉湎
防碍|妨碍
甘败下风|甘拜下风
鬼鬼崇崇|鬼鬼祟祟
既往不究|既往不咎
娇揉造作|矫揉造作
默守成规|墨守成规
旁证博引|旁征博引
敲榨|敲诈
融汇贯通|融会贯通
誓死如归|视死如归
死皮癞脸|死皮赖脸
通谍|通牒
修养生息|休养生息
一如继往|一如既往
遗笑大方|贻笑大方
饮水思原|饮水思源
再接再励|再接再厉
针贬|针砭
变本加利|变本加厉
并行不背|并行不悖
不加思索|不假思索
不醒人事|不省人事
草管人命|草菅人命
穿流不息|川流不息
顶礼模拜|顶礼膜拜
断章取意|断章取义
飞扬拔扈|飞扬跋扈
纷至踏来|纷至沓来
甘之如怡|甘之如饴
汗流夹背|汗流浃背
好高鹜远|好高骛远
虎视耽耽|虎视眈眈
记忆尤新|记忆犹新
坚如盘石|坚如磐石
金壁辉煌|金碧辉煌
精兵减政|精兵简政
苦心孤旨|苦心孤诣
礼上往来|礼尚往来
名列前矛|名列前茅
明火执杖|明火执仗
沤心沥血|呕心沥血
篷荜生辉|蓬荜生辉
凭心而论|平心而论
趋之若骛|趋之若鹜
人心慌慌|人心惶惶
如法泡制|如法炮制
谈笑风声|谈笑风生
天翻地复|天翻地覆
挺而走险|铤而走险
委屈求全|委曲求全
闻名遐尔|闻名遐迩
无计于事|无济于事
消声匿迹|销声匿迹
宣宾夺主|喧宾夺主
言简意该|言简意赅
一股作气|一鼓作气
一愁莫展|一筹莫展
引亢高歌|引吭高歌
原形必露|原形毕露
仗义直言|仗义执言
真知卓见|真知灼见
直接了当|直截了当
重蹈复辙|重蹈覆辙
走头无路|走投无路
自抱自弃|自暴自弃
自立更生|自力更生
饮鸠止渴|饮鸩止渴
蛛丝蚂迹|蛛丝马迹
出奇致胜|出奇制胜
欢心鼓舞|欢欣鼓舞
获益非浅|获益匪浅
精神焕散|精神涣散
诩诩如生|栩栩如生
暇想|遐想
膺品|赝品
宣染|渲染
裨官野史|稗官野史
浪废|浪费
